municode,State,Municipality,Domestic_Tariff,Divisional_Area,DAC_Area,Fixed,January_marginal,February_marginal,March_marginal,April_marginal,May_marginal,June_marginal,July_marginal,Agust_marginal,September_marginal,October_marginal,November_marginal,December_marginal
14107,Jalisco,Tuxcueca,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14108,Jalisco,Tuxpan,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14109,Jalisco,Union de San Antonio,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14110,Jalisco,Union de Tula,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14111,Jalisco,Valle de Guadalupe,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14112,Jalisco,Valle de Juarez,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14113,Jalisco,San Gabriel,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14114,Jalisco,Villa Corona,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14115,Jalisco,Villa Guerrero,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14116,Jalisco,Villa Hidalgo,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14117,Jalisco,Canadas de Obregon,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14118,Jalisco,Yahualica de Gonzalez Gallo,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14119,Jalisco,Zacoalco de Torres,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14120,Jalisco,Zapopan,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14121,Jalisco,Zapotiltic,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14122,Jalisco,Zapotitlan de Vadillo,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14123,Jalisco,Zapotlan del Rey,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14124,Jalisco,Zapotlanejo,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
14125,Jalisco,San Ignacio Cerro Gordo,1,Jalisco,Sur,48.68,2.841,2.8185,3.035,3.196,3.392,3.591,3.895,4.241,4.624,4.616,4.545,3.903
15001,Mexico,Acambay,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15002,Mexico,Acolman,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15003,Mexico,Aculco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15004,Mexico,Almoloya de Alquisiras,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15005,Mexico,Almoloya de Juarez,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15006,Mexico,Almoloya del Rio,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15007,Mexico,Amanalco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15008,Mexico,Amatepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15009,Mexico,Amecameca,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15010,Mexico,Apaxco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15011,Mexico,Atenco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15012,Mexico,Atizapan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15013,Mexico,Atizapan de Zaragoza,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15014,Mexico,Atlacomulco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15015,Mexico,Atlautla,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15016,Mexico,Axapusco,2,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15017,Mexico,Ayapango,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15018,Mexico,Calimaya,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15019,Mexico,Capulhuac,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15020,Mexico,Coacalco de Berriozabal,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15021,Mexico,Coatepec Harinas,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15022,Mexico,Cocotitlan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15023,Mexico,Coyotepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15024,Mexico,Cuautitlan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15025,Mexico,Chalco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15026,Mexico,Chapa de Mota,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15027,Mexico,Chapultepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15028,Mexico,Chiautla,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15029,Mexico,Chicoloapan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15030,Mexico,Chiconcuac,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15031,Mexico,Chimalhuacan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15032,Mexico,Donato Guerra,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15033,Mexico,Ecatepec de Morelos,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15034,Mexico,Ecatzingo,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15035,Mexico,Huehuetoca,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15036,Mexico,Hueypoxtla,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15037,Mexico,Huixquilucan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15038,Mexico,Isidro Fabela,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15039,Mexico,Ixtapaluca,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15040,Mexico,Ixtapan de la Sal,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15041,Mexico,Ixtapan del Oro,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15042,Mexico,Ixtlahuaca,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15043,Mexico,Xalatlaco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15044,Mexico,Jaltenco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15045,Mexico,Jilotepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15046,Mexico,Jilotzingo,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15047,Mexico,Jiquipilco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15048,Mexico,Jocotitlan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15049,Mexico,Joquicingo,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15050,Mexico,Juchitepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15051,Mexico,Lerma,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15052,Mexico,Malinalco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15053,Mexico,Melchor Ocampo,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15054,Mexico,Metepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15055,Mexico,Mexicaltzingo,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15056,Mexico,Morelos,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15057,Mexico,Naucalpan de Juarez,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15058,Mexico,Nezahualcoyotl,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15059,Mexico,Nextlalpan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15060,Mexico,Nicolas Romero,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15061,Mexico,Nopaltepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15062,Mexico,Ocoyoacac,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15063,Mexico,Ocuilan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15064,Mexico,El Oro,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15065,Mexico,Otumba,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15066,Mexico,Otzoloapan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15067,Mexico,Otzolotepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15068,Mexico,Ozumba,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15069,Mexico,Papalotla,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15070,Mexico,La Paz,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15071,Mexico,Polotitlan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15072,Mexico,Rayon,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15073,Mexico,San Antonio la Isla,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15074,Mexico,San Felipe del Progreso,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15075,Mexico,San Martin de las Piramides,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15076,Mexico,San Mateo Atenco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15077,Mexico,San Simon de Guerrero,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15078,Mexico,Santo Tomas,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15079,Mexico,Soyaniquilpan de Juarez,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15080,Mexico,Sultepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15081,Mexico,Tecamac,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15082,Mexico,Tejupilco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15083,Mexico,Temamatla,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15084,Mexico,Temascalapa,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15085,Mexico,Temascalcingo,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15086,Mexico,Temascaltepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15087,Mexico,Temoaya,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15088,Mexico,Tenancingo,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15089,Mexico,Tenango del Aire,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15090,Mexico,Tenango del Valle,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15091,Mexico,Teoloyucan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15092,Mexico,Teotihuacan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15093,Mexico,Tepetlaoxtoc,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15094,Mexico,Tepetlixpa,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15095,Mexico,Tepotzotlan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15096,Mexico,Tequixquiac,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15097,Mexico,Texcaltitlan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15098,Mexico,Texcalyacac,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15099,Mexico,Texcoco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15100,Mexico,Tezoyuca,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15101,Mexico,Tianguistenco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15102,Mexico,Timilpan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15103,Mexico,Tlalmanalco,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15104,Mexico,Tlalnepantla de Baz,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15105,Mexico,Tlatlaya,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15106,Mexico,Toluca,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15107,Mexico,Tonatico,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15108,Mexico,Tultepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15109,Mexico,Tultitlan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15110,Mexico,Valle de Bravo,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15111,Mexico,Villa de Allende,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15112,Mexico,Villa del Carbon,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15113,Mexico,Villa Guerrero,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15114,Mexico,Villa Victoria,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15115,Mexico,Xonacatlan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15116,Mexico,Zacazonapan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15117,Mexico,Zacualpan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15118,Mexico,Zinacantepec,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15119,Mexico,Zumpahuacan,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15120,Mexico,Zumpango,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15121,Mexico,Cuautitlan Izcalli,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15122,Mexico,Valle de Chalco Solidaridad,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15123,Mexico,Luvianos,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15124,Mexico,San Jose del Rincon,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
15125,Mexico,Tonanitla,1,Centro Sur,Central,47.45,2.404,2.539,2.657,2.783,2.935,3.089,3.325,3.594,3.892,3.886,3.831,3.332
16001,Michoacan de Ocampo,Acuitzio,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16002,Michoacan de Ocampo,Aguililla,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16003,Michoacan de Ocampo,Alvaro Obregon,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16004,Michoacan de Ocampo,Angamacutiro,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16005,Michoacan de Ocampo,Angangueo,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16006,Michoacan de Ocampo,Apatzingan,5,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16007,Michoacan de Ocampo,Aporo,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16008,Michoacan de Ocampo,Aquila,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16009,Michoacan de Ocampo,Ario,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16010,Michoacan de Ocampo,Arteaga,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16011,Michoacan de Ocampo,Brisenas,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16012,Michoacan de Ocampo,Buenavista,4,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16013,Michoacan de Ocampo,Caracuaro,5,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16014,Michoacan de Ocampo,Coahuayana,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16015,Michoacan de Ocampo,Coalcoman de Vazquez Pallares,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16016,Michoacan de Ocampo,Coeneo,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16017,Michoacan de Ocampo,Contepec,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16018,Michoacan de Ocampo,Copandaro,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16019,Michoacan de Ocampo,Cotija,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16020,Michoacan de Ocampo,Cuitzeo,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16021,Michoacan de Ocampo,Charapan,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16022,Michoacan de Ocampo,Charo,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16023,Michoacan de Ocampo,Chavinda,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16024,Michoacan de Ocampo,Cheran,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16025,Michoacan de Ocampo,Chilchota,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
16026,Michoacan de Ocampo,Chinicuila,1,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
