municode,State,Municipality,Domestic_Tariff,Divisional_Area,DAC_Area,Fixed,January_marginal,February_marginal,March_marginal,April_marginal,May_marginal,June_marginal,July_marginal,Agust_marginal,September_marginal,October_marginal,November_marginal,December_marginal
5006,Coahuila de Zaragoza,Castanos,1,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5007,Coahuila de Zaragoza,Cuatro Cienegas,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5008,Coahuila de Zaragoza,Escobedo,5,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5009,Coahuila de Zaragoza,Francisco I. Madero,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5010,Coahuila de Zaragoza,Frontera,5,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5011,Coahuila de Zaragoza,General Cepeda,2,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5012,Coahuila de Zaragoza,Guerrero,6,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5013,Coahuila de Zaragoza,Hidalgo,6,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5014,Coahuila de Zaragoza,Jimenez,6,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5015,Coahuila de Zaragoza,Juarez,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5016,Coahuila de Zaragoza,Lamadrid,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
